Volcano Number,Volcano Name,rgi_region,Latitude,Longitude,n_glac,A_glac_km2,LR_s,LR_p,LR_r,MK_s,MK_p,MK_r,SR_r,SR_p,Erupted,f_erupt
311120,Great Sitkin,01_alaska,52.076,-176.13,9,4.84131475139482,-0.06077525480638074,0.14211033184360006,-0.5300850466483774,-14.93452500000004,0.11785089502136503,-0.4444444444444444,-0.5499999999999999,0.12497678418833198,0,0.0
311160,Atka Volcanic Complex,01_alaska,52.331,-174.139,12,13.351176344112236,0.012039325607071105,0.6253057029200695,0.15733538882097015,-4.284073999999987,0.6312218204782534,-0.12121212121212122,-0.027972027972027972,0.9312343512018808,1,0.35
311270,Vsevidof,01_alaska,53.13,-168.693,23,43.99800486973061,-0.06608140939826529,0.13047371052162335,-0.5118070577797904,-18.930104615384614,0.006020047102323067,-0.4150197628458498,-0.33434804902403553,0.34503632799221085,0,0.0
311280,Recheschnoi,01_alaska,53.157,-168.539,23,43.99800486973061,8.6396807089488e-06,0.9997973411531517,7.834044474938359e-05,14.51320666666667,0.0346147634925027,0.3201581027667984,0.06593406593406594,0.8305423857560938,0,0.0
311310,Makushin,01_alaska,53.891,-166.923,16,43.42015112236783,-0.05687371717246856,0.09110258872505018,-0.4363195393105169,-9.75269285714286,0.26035056965599135,-0.21666666666666667,-0.3147058823529411,0.23515831926634445,1,0.1
311320,Akutan,01_alaska,54.134,-165.986,5,1.3603252604549239,0.033110428422415135,0.4825239976836304,0.4190327487322901,14.583960000000047,0.80649594050734,0.2,0.19999999999999998,0.747060078104662,1,0.25
311340,Westdahl,01_alaska,54.516,-164.65,15,112.76216317483515,-0.013879839893649246,0.18452043345252434,-0.3622712318807502,-7.45091555555555,0.23495478370334322,-0.23809523809523808,-0.3214285714285714,0.24271904680166836,1,0.05
311350,Fisher,01_alaska,54.65,-164.43,9,79.41514208640996,,,,,,,,,0,0.0
311360,Shishaldin,01_alaska,54.756,-163.97,25,97.25660941500149,-3.659244556818974,0.029138759839425887,-0.6840692318491693,-34.69340555555554,6.85244367915061e-08,-0.7733333333333333,-0.6484848484848483,0.04254012768448945,1,0.45
311380,Roundtop,01_alaska,54.8,-163.589,32,102.17199159979063,-0.0071000642475442305,0.3394018444791912,-0.18397567459001504,1.338697523809524,0.7091645038629479,0.04838709677419355,-0.2113300492610837,0.27112534890123885,0,0.0
312010,Frosty,01_alaska,55.067,-162.835,15,10.238540174706175,-0.07830630491282278,0.005441382325017629,-0.67830989579354,-24.246969090909086,0.010072435153279713,-0.5047619047619047,-0.657142857142857,0.007770251358668445,0,0.0
312011,Dutton,01_alaska,55.183,-162.276,15,10.237036706035397,-0.008949844973323379,0.07471893119568018,-0.5104016557592449,-16.28402307692308,0.0075331703386321,-0.5238095238095238,-0.5824175824175823,0.036741334358654267,0,0.0
312020,Emmons Lake Volcanic Center,01_alaska,55.3519,-162.0445,47,77.38593772497367,-0.010807652338538157,0.17254793315473835,-0.3716706839992889,9.876927999999998,1.409486543479943e-06,0.48751156336725254,-0.36428571428571427,0.18191025904581395,0,0.0
312030,Pavlof,01_alaska,55.417,-161.894,40,74.52929999885694,-0.14727031278634223,0.0032352637535744554,-0.6877343526404747,-3.699851363636368,0.24872473553918217,-0.1282051282051282,-0.7529411764705882,0.0007610810731946071,1,0.2
312040,Pavlof Sister,01_alaska,55.457,-161.854,31,64.55140768170236,0.039235914573068006,0.9236561838364713,0.03494266363327013,3.242805555555555,0.3242351019547285,0.12688172043010754,0.22424242424242422,0.5334005612725947,0,0.0
312050,Dana,01_alaska,55.641,-161.214,2,0.139453288389542,,,,,,,,,0,0.0
312055,Stepovak Bay Group,01_alaska,55.917,-160.017,61,83.51329541115287,-0.006006742320550258,0.24576940417426824,-0.1854258943217964,2.957093824786324,0.04313016440490647,0.17814207650273223,-0.009756097560975611,0.9517263643870901,0,0.0
312060,Kupreanof,01_alaska,56.011,-159.797,52,84.14164505738194,-0.021741605836704633,0.0073936859482744,-0.5127687042494496,-2.704260897435897,0.1929069533179648,-0.12518853695324283,-0.5856410256410256,0.0016705278442157416,0,0.0
312070,Veniaminof,01_alaska,56.17,-159.38,35,294.8397162409372,-0.030008585304246375,0.059933876540884314,-0.3474484448483234,-12.63386666666664,0.0016175803651699017,-0.37478991596638656,-0.2849833147942158,0.12689908311780823,1,0.45
312080,Black Peak,01_alaska,56.552,-158.785,13,5.387621821936461,-0.004035684712767546,0.7901884246345382,-0.0819244028512885,2.343833333333322,0.760332307521876,0.07692307692307693,0.07142857142857142,0.816628040676086,0,0.0
312090,Aniakchak,01_alaska,56.88,-158.17,14,4.540053820583081,0.1012278337103244,0.005808266878887321,0.6948874270049902,27.288009999999996,0.0487449207397066,0.4065934065934066,0.6923076923076923,0.006071048749990052,0,0.0
312100,Yantarni,01_alaska,57.019,-157.185,32,26.428355784004836,-0.016182512546990904,0.01908909068607413,-0.6374798384395115,14.89081820652174,0.005553981920621398,0.3467741935483871,-0.8571428571428571,0.0001809340887252406,0,0.0
312110,Chiginagak,01_alaska,57.135,-156.99,71,73.50605327199162,-0.057607438893831235,0.0005476666863609873,-0.6764074047356428,-3.305927999999999,0.005118383692698902,-0.22736418511066397,-0.6487859966120837,0.0010893930149235103,1,0.05
312120,Kialagvik,01_alaska,57.203,-156.745,81,119.4237012888604,-0.018770185566836566,1.0496287912508492e-07,-0.6231977804351648,0.49143974481658725,0.6625541563476403,0.03333333333333333,-0.6122256182272855,2.01479798818754e-07,0,0.0
312140,Martin,01_alaska,58.172,-155.361,37,86.9564719499667,-0.005060385994912946,0.8397029928537623,-0.049753877191891775,-0.304559943181816,0.8444667630816367,-0.024024024024024024,-0.15614035087719297,0.5232597112042991,0,0.0
312150,Mageik,01_alaska,58.195,-155.253,53,131.81301894360675,-0.11335434480176633,0.008498357583006783,-0.6515629303389107,-2.4731494623655843,0.08163984763713206,-0.16545718432510886,-0.3252905677826704,0.2367819099085197,0,0.0
312160,Trident,01_alaska,58.236,-155.1,67,204.46001501059422,0.011431266447326616,0.8285994091151592,0.17140059088484058,-0.39692571428571294,0.7048314948916736,-0.03211216644052465,0.19999999999999998,0.8,0,0.0
312170,Katmai,01_alaska,58.279,-154.9533,63,291.9523506495456,-0.01484359642448067,0.17024895853997868,-0.3378985416432894,0.3741279069767463,0.8032789714123261,0.022017409114183307,-0.3333333333333333,0.17646319681352732,0,0.0
312180,Novarupta,01_alaska,58.2655,-155.1588,65,183.3505910466682,,,,,,,,,0,0.0
312190,Griggs,01_alaska,58.354,-155.092,50,196.17118489558231,-0.055637573606100194,0.05694848555099074,-0.5624632623253617,-3.9650522727272706,0.0036030803041855464,-0.28489795918367344,-0.7412587412587414,0.005801150474478243,0,0.0
312200,Snowy Mountain,01_alaska,58.336,-154.682,77,435.71119878685624,-0.04205875670690109,0.0027916513954643475,-0.5829823941261916,-0.5749022727272677,0.5236335001566674,-0.04989747095010253,-0.5199999999999999,0.009197719807264302,0,0.0
312210,Denison,01_alaska,58.418,-154.449,69,368.5887783942961,-0.02873425119815463,0.0019283923812723573,-0.5603174633406655,-4.909790641025641,3.8264629069972855e-05,-0.3393009377664109,-0.5566502463054187,0.0020949066222325182,0,0.0
312220,Steller,01_alaska,58.43,-154.4,66,326.5795588697815,-0.04844285118250889,0.20262414364077347,-0.684217576733557,-1.7275499999999997,0.25891587530838045,-0.09557109557109557,-0.8999999999999998,0.03738607346849874,0,0.0
312230,Kukak,01_alaska,58.453,-154.355,61,270.4127112037772,-0.06131106113344122,0.017007074549053373,-0.5145410528411561,4.363806127450982,0.003516668528078304,0.2568306010928962,-0.7558441558441559,7.403635379593009e-05,0,0.0
312250,Kaguyak,01_alaska,58.608,-154.028,67,48.911551591952744,0.02077711188338965,0.23073748670596952,0.24345433398636007,3.8534418918918893,2.931588352517167e-06,0.3912256897331524,0.254017094017094,0.21049743394194986,0,0.0
312260,Fourpeaked,01_alaska,58.77,-153.672,111,329.1357833390536,0.0005829025383353166,0.9025180878381918,0.014797688094861594,-1.6761000000000108,0.0003531312326192637,-0.2298116298116298,0.1231723675385647,0.30614249131660726,1,0.05
312270,Douglas,01_alaska,58.855,-153.542,60,310.5441228280202,-0.02982067928274222,0.033899051545543415,-0.5016836525448491,1.9272683863636373,0.07944246612774486,0.15593220338983052,-0.4592363261093911,0.05521566198726722,0,0.0
313020,Iliamna,01_alaska,60.032,-153.09,185,426.393387017445,-0.0064533356464321415,0.03272837714182527,-0.15708638514153703,-0.4385805237525631,0.1444519180533579,-0.07226792009400705,-0.09886092263371364,0.18062858240422347,0,0.0
313030,Redoubt,01_alaska,60.485,-152.742,191,413.22479883224713,-0.004287022370201202,0.14469769720680256,-0.10593288883456257,0.13106323529411704,0.5759838712992691,0.027280242491044365,0.03032860292091485,0.6770485232579682,1,0.05
313040,Spurr,01_alaska,61.299,-152.251,142,871.8109440130579,-0.012030482682399951,0.1400157018834053,-0.12490371763931173,-1.5752802083333346,0.039732778149344616,-0.11657177105184298,-0.17380452930348045,0.039287991376018266,1,0.05
313050,Hayes,01_alaska,61.64,-152.411,139,919.4854687068911,-0.017067703999924907,0.10461110950782893,-0.1387432806969165,-1.6973655172413804,0.017228624855571306,-0.13648211865290377,-0.21401679037601398,0.011717660118907182,0,0.0
315020,Wrangell,01_alaska,62.006,-144.017,59,2032.8298329383322,-0.02269823723962684,0.00014224104013116367,-0.47531636022960483,-6.028188888888887,0.0006725453256148928,-0.304500292226768,-0.41765049678550564,0.000997567479981095,1,0.1
315030,Churchill,01_alaska,61.38,-141.75,119,2114.0506350357978,-0.018068746696919054,0.015354038383171884,-0.22176689289859247,-1.5704039999999986,0.04094064759100524,-0.12690499928785073,-0.19212362911266204,0.036327610498856584,0,0.0
320060,Edziza,01_alaska,57.72,-130.63,32,52.33826054335161,-0.02854832973267012,1.230563048203524e-07,-0.7986028955746578,-19.515357936507943,5.824971616164021e-09,-0.7258064516129032,-0.889210233592881,5.1599107822800474e-11,0,0.0
320070,Spectrum Range,01_alaska,57.43,-130.68,51,21.903750495848673,-0.007048269023623413,6.495582137478444e-05,-0.5293549150895697,-2.5391636363636376,0.00014400003253833837,-0.367843137254902,-0.5087782805429863,0.000137715583466921,0,0.0
320080,Hoodoo Mountain,01_alaska,56.78,-131.28,133,656.262057466198,-0.0021326206666453175,0.46856425295984727,-0.06338468752496447,-0.5147121978021977,0.1398579221234142,-0.08658008658008658,-0.12173411819916141,0.16275923838793913,0,0.0
320090,Iskut-Unuk River Cones,01_alaska,56.567,-130.75,164,209.34483835849744,-0.0018201571420300446,0.5034971745833503,-0.052606101436951797,-0.0745107365504494,0.8078804178445047,-0.012868472243004638,-0.016919456422673538,0.8297417069520114,0,0.0
