Volcano Number,Volcano Name,rgi_region,Latitude,Longitude,n_glac,A_glac_km2,LR_s,LR_p,LR_r,MK_s,MK_p,MK_r,SR_r,SR_p,Erupted,f_erupt
311120,Great Sitkin,01_alaska,52.076,-176.13,9,4.84131475139482,-0.06077525480638074,0.14211033184360006,-0.5300850466483774,-14.93452500000004,0.11785089502136503,-0.4444444444444444,-0.5499999999999999,0.12497678418833198,0,0.0
311160,Atka Volcanic Complex,01_alaska,52.331,-174.139,12,13.351176344112236,0.012039325607071105,0.6253057029200695,0.15733538882097015,-4.284073999999987,0.6312218204782534,-0.12121212121212122,-0.027972027972027972,0.9312343512018808,1,0.35
311270,Vsevidof,01_alaska,53.13,-168.693,18,37.13498233573957,-0.06608140939826529,0.13047371052162324,-0.5118070577797905,-30.61426250000001,0.0014639980584623125,-0.5555555555555556,-0.33434804902403553,0.34503632799221085,0,0.0
311280,Recheschnoi,01_alaska,53.157,-168.539,19,42.43230988512545,8.639680708955738e-06,0.9997973411531516,7.834044545797225e-05,11.41228823529412,0.10754282889930056,0.27485380116959063,0.06593406593406594,0.8305423857560938,0,0.0
311310,Makushin,01_alaska,53.891,-166.923,16,43.42015112236783,-0.05687371717246856,0.09110258872505018,-0.4363195393105169,-9.75269285714286,0.26035056965599135,-0.21666666666666667,-0.3147058823529411,0.23515831926634445,1,0.1
311320,Akutan,01_alaska,54.134,-165.986,5,1.3603252604549239,0.033110428422415135,0.4825239976836304,0.4190327487322901,14.583960000000047,0.80649594050734,0.2,0.19999999999999998,0.747060078104662,1,0.25
311340,Westdahl,01_alaska,54.516,-164.65,15,112.76216317483515,-0.013879839893649246,0.18452043345252434,-0.3622712318807502,-7.45091555555555,0.23495478370334322,-0.23809523809523808,-0.3214285714285714,0.24271904680166836,1,0.05
311360,Shishaldin,01_alaska,54.756,-163.97,10,55.439372192566346,-3.6592445568189738,0.029138759839425942,-0.6840692318491692,-49.378900000000044,0.07363827012030266,-0.4666666666666667,-0.6484848484848483,0.04254012768448945,1,0.45
311380,Roundtop,01_alaska,54.8,-163.589,24,56.53627335944422,-0.01458836056559198,0.18883121684317378,-0.27774145603548445,-5.652094448529409,0.30916269487358283,-0.15217391304347827,-0.2721739130434782,0.1982171723154793,0,0.0
312010,Frosty,01_alaska,55.067,-162.835,15,10.238540174706175,-0.07830630491282278,0.005441382325017629,-0.67830989579354,-24.246969090909086,0.010072435153279713,-0.5047619047619047,-0.657142857142857,0.007770251358668445,0,0.0
312011,Dutton,01_alaska,55.183,-162.276,7,3.7994329926536943,-0.15122092018160624,0.2938247139521914,-0.4643784699494433,-11.598790000000008,0.7638905934705396,-0.14285714285714285,-0.1785714285714286,0.7016579425162729,0,0.0
312020,Emmons Lake Volcanic Center,01_alaska,55.3519,-162.0445,19,46.86282829725177,-0.013780988537946733,0.20506996067859598,-0.3762896543267959,12.163387499999999,0.23423926303398224,0.2046783625730994,-0.34615384615384615,0.24662526251007164,0,0.0
312030,Pavlof,01_alaska,55.417,-161.894,28,61.77764220767731,-0.14727788782055506,0.003235318319248791,-0.6877334842972925,-4.2466530303030305,0.29505551931395413,-0.14285714285714285,-0.7529411764705882,0.0007610810731946071,1,0.2
312040,Pavlof Sister,01_alaska,55.457,-161.854,26,57.4942900585881,0.03923591457306802,0.9236561838364712,0.03494266363326854,3.755966666666685,0.31062506239573384,0.14461538461538462,0.22424242424242422,0.5334005612725947,0,0.0
312050,Dana,01_alaska,55.641,-161.214,2,0.139453288389542,,,,,,,,,0,0.0
312055,Stepovak Bay Group,01_alaska,55.917,-160.017,41,55.30664472957304,0.006982426518630964,0.43379320721884596,0.1290072981892285,0.6754946000000005,0.6451505807102356,0.05121951219512195,0.11619433198380567,0.48117366826021646,0,0.0
312060,Kupreanof,01_alaska,56.011,-159.797,23,44.41144408059372,-0.06649650865349822,0.0009335945592052848,-0.6816439333420162,-15.698655000000008,0.04472893731365213,-0.30434782608695654,-0.6105263157894737,0.004248782651947041,0,0.0
312070,Veniaminof,01_alaska,56.17,-159.38,25,287.1095108017229,-0.005516428234111892,0.8099612206467354,-0.05065788834565758,4.128557352941179,0.69134204811853,0.06,0.09,0.6687736167185602,1,0.45
312080,Black Peak,01_alaska,56.552,-158.785,5,3.181283294898858,0.047022324213189304,0.6996937526476485,0.23813008177633768,21.327684999999974,0.80649594050734,0.2,0.0,1.0,0,0.0
312090,Aniakchak,01_alaska,56.88,-158.17,14,4.540053820583081,0.1012278337103244,0.005808266878887321,0.6948874270049902,27.288009999999996,0.0487449207397066,0.4065934065934066,0.6923076923076923,0.006071048749990052,0,0.0
312100,Yantarni,01_alaska,57.019,-157.185,13,5.706654683574355,-0.03615133547621158,1.5773170636699225e-05,-0.9256551047778467,-29.254350714285724,0.00012126237486764779,-0.8205128205128205,-0.9230769230769231,1.8621951098680987e-05,0,0.0
312110,Chiginagak,01_alaska,57.135,-156.99,26,23.49674460820047,-0.05746873879335811,0.003828071362956011,-0.6027485956779306,-25.00226,0.0002533026931084148,-0.5138461538461538,-0.5961038961038961,0.004346554429032715,1,0.05
312120,Kialagvik,01_alaska,57.203,-156.745,41,76.14358967394674,-0.014608119921634846,0.005663078962228222,-0.4348862193534721,-2.6447897058823555,0.057670064418724465,-0.2073170731707317,-0.4238866396761134,0.007163437626592424,0,0.0
312140,Martin,01_alaska,58.172,-155.361,34,66.46972778768293,-0.005060385994912947,0.8397029928537623,-0.049753877191892885,1.3968629629629656,0.5142234581271419,0.08021390374331551,-0.15614035087719297,0.5232597112042991,0,0.0
312150,Mageik,01_alaska,58.195,-155.253,29,72.83446511682374,-0.11335434480176634,0.00849835758300677,-0.6515629303389107,-12.32759505514706,0.0017326756160587209,-0.41379310344827586,-0.3252905677826704,0.2367819099085197,0,0.0
312160,Trident,01_alaska,58.236,-155.1,26,80.41472305198913,0.011431266447326616,0.8285994091151592,0.17140059088484058,-0.5986142857142828,0.9297445787752687,-0.015384615384615385,0.19999999999999998,0.8,0,0.0
312170,Katmai,01_alaska,58.279,-154.9533,29,133.4360208778644,-0.014843596424480668,0.1702489585399788,-0.3378985416432889,-3.2537781818181903,0.33873831133439536,-0.12807881773399016,-0.3333333333333333,0.17646319681352732,0,0.0
312180,Novarupta,01_alaska,58.2655,-155.1588,24,94.03249727979409,,,,,,,,,0,0.0
312190,Griggs,01_alaska,58.354,-155.092,19,54.5871156707538,-0.0556375736061002,0.05694848555099074,-0.5624632623253617,-21.356539999999995,0.0003589921023694487,-0.6023391812865497,-0.7412587412587414,0.005801150474478243,0,0.0
312200,Snowy Mountain,01_alaska,58.336,-154.682,30,230.03231305703224,-0.04205875670690109,0.0027916513954643475,-0.5829823941261917,-5.442299999999997,0.13396533563924473,-0.19540229885057472,-0.5199999999999999,0.009197719807264302,0,0.0
312210,Denison,01_alaska,58.418,-154.449,39,254.66269976433898,-0.012714233861124576,0.33175971675317084,-0.2118846574729212,-9.460700000000005,6.552723417785344e-05,-0.446693657219973,-0.29545454545454547,0.17108735970276687,0,0.0
312220,Steller,01_alaska,58.43,-154.4,43,230.66733949573714,-0.04844285118250889,0.20262414364077347,-0.684217576733557,-5.0923210526315845,0.07871507631982921,-0.18715393133997785,-0.8999999999999998,0.03738607346849874,0,0.0
312230,Kukak,01_alaska,58.453,-154.355,35,223.34123139868734,-0.06131106113344122,0.01700707454905336,-0.5145410528411563,2.0792678571428627,0.711950905455661,0.0453781512605042,-0.7558441558441559,7.403635379593009e-05,0,0.0
312250,Kaguyak,01_alaska,58.608,-154.028,2,0.257884575295322,,,,,,,,,0,0.0
312260,Fourpeaked,01_alaska,58.77,-153.672,53,228.30578950124988,-0.0038286811207867122,0.5712356877038286,-0.08034838723825238,0.6975793589743529,0.6072959765017756,0.04934687953555878,0.07470332109621787,0.5986557431709699,1,0.05
312270,Douglas,01_alaska,58.855,-153.542,21,233.2526728357506,-0.02982067928274222,0.033899051545543415,-0.5016836525448491,-5.519000096153844,0.3190080301151297,-0.1619047619047619,-0.4592363261093911,0.05521566198726722,0,0.0
313020,Iliamna,01_alaska,60.032,-153.09,56,277.0982333341824,-0.003971014458694081,0.7357317434809828,-0.046117954371656555,-1.1241261564339817,0.5386369182940962,-0.05714285714285714,-0.06527682843472318,0.6326645360628222,0,0.0
313030,Redoubt,01_alaska,60.485,-152.742,55,98.37668404625198,-0.03510719887645779,5.841515088938075e-05,-0.5145737935536245,-7.214319999999998,2.5488583217381233e-06,-0.43703703703703706,-0.6031746031746033,1.0947230927229394e-06,1,0.05
313040,Spurr,01_alaska,61.299,-152.251,27,373.5319422884035,0.01000661550015033,0.6058625839277048,0.1039510981424896,4.325500000000005,0.587804963067637,0.07692307692307693,0.13675213675213677,0.4963985300260745,1,0.05
313050,Hayes,01_alaska,61.64,-152.411,22,710.931897255309,0.011023333228062676,0.7183026008816809,0.0815388588126556,-0.4417571428571461,0.9550264552939918,-0.012987012987012988,-0.019762845849802372,0.9304384215377666,0,0.0
315020,Wrangell,01_alaska,62.006,-144.017,12,1877.8158370299193,-0.047770499585475634,0.010988441159097214,-0.701629573153849,-45.02936388888889,0.023642218909198487,-0.5151515151515151,-0.6923076923076924,0.012593030496094107,1,0.1
315030,Churchill,01_alaska,61.38,-141.75,15,1977.8464671363315,0.007455230265786504,0.8652953753852446,0.047933814073627616,-15.517099999999951,0.5526151250628484,-0.12380952380952381,-0.19999999999999998,0.4748139645221684,0,0.0
320060,Edziza,01_alaska,57.72,-130.63,24,50.544867835445075,-0.09412353984873068,1.8934215413861764e-07,-0.846190918581295,-20.580941666666682,3.5107706906067904e-06,-0.6811594202898551,-0.84,2.835044982292681e-07,0,0.0
320070,Spectrum Range,01_alaska,57.43,-130.68,26,13.50422142667146,-0.013816701069094196,0.04135713658695892,-0.4027470051224859,-3.3836999999998625,0.2704279639103757,-0.15692307692307692,-0.23487179487179485,0.24810613571794266,0,0.0
320080,Hoodoo Mountain,01_alaska,56.78,-131.28,34,212.36678525567586,-0.003706240243612204,0.7074476056238986,-0.06678724553805042,-0.5849999999999876,0.9527149346506574,-0.008912655971479501,-0.014209320091673033,0.936429197469186,0,0.0
320090,Iskut-Unuk River Cones,01_alaska,56.567,-130.75,80,91.86274559724431,-0.0059464183302943814,0.4950179531773313,-0.07739250288358067,-0.6437776315789445,0.38978070777360085,-0.06582278481012659,-0.07939521800281295,0.48388842629753503,0,0.0
320100,Tseax River Cone,01_alaska,55.12,-128.9,2,1.625363141181123,,,,,,,,,0,0.0
320150,Wells Gray-Clearwater,02_western_canada_usa,52.33,-120.57,2,0.31179529997370803,,,,,,,,,0,0.0
